BRASIL;161.790.311
REGIÃO NORTE;11.868.725
RONDÔNIA;1.276.173
ACRE;514.050
AMAZONAS;2.520.684
RORAIMA;260.705
PARÁ;5.768.476
AMAPÁ;420.834
TOCANTINS;1.107.803
REGIÃO NORDESTE;45.811.342
MARANHÃO;5.356.853
PIAUÍ;2.714.999
CEARÁ ;7.013.376
RIO GRANDE DO NORTE;2.624.397
PARAÍBA;3.353.624
PERNANBUCO;7.523.755
ALAGOAS;2.688.117
SERGIPE;1.684.953
BAHIA;12.851.268
REGIÃO SUDESTE  ;68.961.343
MINAS GERAIS;17.100.314
ESPÍRITO SANTO;2.895.547
RIO DE JANEIRO;13.681.410
SÃO PAULO;35.284.072
REGIÃO SUL;24.154.080
PARANÁ;9.258.813
SANTA CATARINA;5.028.339
RIO GRANDE DO SUL;9.866.928
REGIÃO CENTRO-OESTE;10.994.821
MATO GROSSO DO SUL;1.995.578
MATO GROSSO;2.331.663
GOIÁS;4.744.174
DISTRITO FEDERAL;1.923.406
