SIGLA UF;COD. UF;COD. MUNICIPIO;MUNICIPIO;POPULACAO
RO;11;15;Alta Floresta D'Oeste;24.354
RO;11;379;Alto Alegre dos Parecis;11.875
RO;11;403;Alto Paraíso;17.569
RO;11;346;Alvorada D'Oeste;17.127
RO;11;23;Ariquemes;85.541
RO;11;452;Buritis;34.693
RO;11;31;Cabixi;6.695
RO;11;601;Cacaulândia;5.736
RO;11;49;Cacoal;78.675
RO;11;700;Campo Novo de Rondônia;12.915
RO;11;809;Candeias do Jamari;17.547
RO;11;908;Castanheiras;3.685
RO;11;56;Cerejeiras;16.622
RO;11;924;Chupinguaia;7.843
RO;11;64;Colorado do Oeste;17.822
RO;11;72;Corumbiara;9.680
RO;11;80;Costa Marques;14.452
RO;11;940;Cujubim;14.889
RO;11;98;Espigão D'Oeste;28.892
RO;11;1005;Governador Jorge Teixeira;11.593
RO;11;106;Guajará-Mirim;40.762
RO;11;1104;Itapuã do Oeste;8.235
RO;11;114;Jaru;53.943
RO;11;122;Ji-Paraná;111.010
RO;11;130;Machadinho D'Oeste;33.159
RO;11;1203;Ministro Andreazza;10.572
RO;11;1302;Mirante da Serra;12.363
RO;11;1401;Monte Negro;12.708
RO;11;148;Nova Brasilândia D'Oeste;17.698
RO;11;338;Nova Mamoré;22.337
RO;11;1435;Nova União;7.944
RO;11;502;Novo Horizonte do Oeste;9.720
RO;11;155;Ouro Preto do Oeste;36.725
RO;11;1450;Parecis;4.802
RO;11;189;Pimenta Bueno;33.984
RO;11;1468;Pimenteiras do Oeste;2.415
RO;11;205;Porto Velho;382.829
RO;11;254;Presidente Médici;22.519
RO;11;1476;Primavera de Rondônia;3.765
RO;11;262;Rio Crespo;3.290
RO;11;288;Rolim de Moura;50.499
RO;11;296;Santa Luzia D'Oeste;9.348
RO;11;1484;São Felipe D'Oeste;6.412
RO;11;1492;São Francisco do Guaporé;16.491
RO;11;320;São Miguel do Guaporé;23.201
RO;11;1500;Seringueiras;12.117
RO;11;1559;Teixeirópolis;5.010
RO;11;1609;Theobroma;10.325
RO;11;1708;Urupá;13.661
RO;11;1757;Vale do Anari;9.100
RO;11;1807;Vale do Paraíso;8.913
RO;11;304;Vilhena;69.866
AC;12;13;Acrelândia;12.241
AC;12;54;Assis Brasil;5.662
AC;12;104;Brasiléia;20.238
AC;12;138;Bujari;6.772
AC;12;179;Capixaba;9.287
AC;12;203;Cruzeiro do Sul;77.004
AC;12;252;Epitaciolândia;14.224
AC;12;302;Feijó;32.261
AC;12;328;Jordão;6.520
AC;12;336;Mâncio Lima;14.774
AC;12;344;Manoel Urbano;7.505
AC;12;351;Marechal Thaumaturgo;14.275
AC;12;385;Plácido de Castro;18.235
AC;12;807;Porto Acre;14.682
AC;12;393;Porto Walter;8.855
AC;12;401;Rio Branco;305.954
AC;12;427;Rodrigues Alves;13.460
AC;12;435;Santa Rosa do Purus;4.358
AC;12;500;Sena Madureira;36.166
AC;12;450;Senador Guiomard;19.697
AC;12;609;Tarauacá;33.883
AC;12;708;Xapuri;15.079
AM;13;29;Alvarães;13.566
AM;13;60;Amaturá;8.828
AM;13;86;Anamã;8.673
AM;13;102;Anori;14.688
AM;13;144;Apuí;18.597
AM;13;201;Atalaia do Norte;14.715
AM;13;300;Autazes;31.774
AM;13;409;Barcelos;25.410
AM;13;508;Barreirinha;28.162
AM;13;607;Benjamin Constant;31.195
AM;13;631;Beruri;14.705
AM;13;680;Boa Vista do Ramos;13.994
AM;13;706;Boca do Acre;31.221
AM;13;805;Borba;32.496
AM;13;839;Caapiranga;11.170
AM;13;904;Canutama;11.948
AM;13;1001;Carauari;26.187
AM;13;1100;Careiro;32.638
AM;13;1159;Careiro da Várzea;24.704
AM;13;1209;Coari;66.991
AM;13;1308;Codajás;16.291
AM;13;1407;Eirunepé;30.901
AM;13;1506;Envira;17.614
AM;13;1605;Fonte Boa;18.803
AM;13;1654;Guajará;15.031
AM;13;1704;Humaitá;40.735
AM;13;1803;Ipixuna;18.202
AM;13;1852;Iranduba;33.884
AM;13;1902;Itacoatiara;89.440
AM;13;1951;Itamarati;8.281
AM;13;2009;Itapiranga;9.733
AM;13;2108;Japurá;4.238
AM;13;2207;Juruá;9.275
AM;13;2306;Jutaí;16.791
AM;13;2405;Lábrea;39.393
AM;13;2504;Manacapuru;86.472
AM;13;2553;Manaquiri;20.836
AM;13;2603;Manaus;1.738.641
AM;13;2702;Manicoré;46.773
AM;13;2801;Maraã;18.135
AM;13;2900;Maués;49.666
AM;13;3007;Nhamundá;18.474
AM;13;3106;Nova Olinda do Norte;31.012
AM;13;3205;Novo Airão;15.915
AM;13;3304;Novo Aripuanã;18.952
AM;13;3403;Parintins;107.250
AM;13;3502;Pauini;19.111
AM;13;3536;Presidente Figueiredo;26.282
AM;13;3569;Rio Preto da Eva;26.847
AM;13;3601;Santa Isabel do Rio Negro;18.506
AM;13;3700;Santo Antônio do Içá;30.351
AM;13;3809;São Gabriel da Cachoeira;41.885
AM;13;3908;São Paulo de Olivença;32.958
AM;13;3957;São Sebastião do Uatumã;9.268
AM;13;4005;Silves;8.543
AM;13;4062;Tabatinga;47.948
AM;13;4104;Tapauá;19.884
AM;13;4203;Tefé;64.671
AM;13;4237;Tonantins;20.286
AM;13;4260;Uarini;10.108
AM;13;4302;Urucará;15.780
AM;13;4401;Urucurituba;18.541
RR;14;50;Alto Alegre;14.205
RR;14;27;Amajari;8.249
RR;14;100;Boa Vista;266.901
RR;14;159;Bonfim;10.726
RR;14;175;Cantá;11.942
RR;14;209;Caracaraí;19.235
RR;14;233;Caroebe;7.569
RR;14;282;Iracema;6.250
RR;14;308;Mucajaí;13.188
RR;14;407;Normandia;7.527
RR;14;456;Pacaraima;9.220
RR;14;472;Rorainópolis;26.546
RR;14;506;São João da Baliza;6.028
RR;14;605;São Luiz;5.979
RR;14;704;Uiramutã;7.934
PA;15;107;Abaetetuba;139.819
PA;15;131;Abel Figueiredo;6.967
PA;15;206;Acará;48.501
PA;15;305;Afuá;32.633
PA;15;347;Água Azul do Norte;31.216
PA;15;404;Alenquer;57.067
PA;15;503;Almeirim;31.192
PA;15;602;Altamira;98.750
PA;15;701;Anajás;27.386
PA;15;800;Ananindeua;505.512
PA;15;859;Anapu;20.421
PA;15;909;Augusto Corrêa;39.317
PA;15;958;Aurora do Pará;22.315
PA;15;1006;Aveiro;20.266
PA;15;1105;Bagre;20.386
PA;15;1204;Baião;28.299
PA;15;1253;Bannach;3.947
