SIGLA UF;COD. UF;COD. MUNICIPIO;MUNICIPIO;POPULACAO
RO;11;15;Alta Floresta D'Oeste;25.578
RO;11;379;Alto Alegre dos Parecis;13.940
RO;11;403;Alto Paraíso;20.210
RO;11;346;Alvorada D'Oeste;17.063
RO;11;23;Ariquemes;104.401
RO;11;452;Buritis;37.838
RO;11;31;Cabixi;6.355
RO;11;601;Cacaulândia;6.367
RO;11;49;Cacoal;87.226
RO;11;700;Campo Novo de Rondônia;14.220
RO;11;809;Candeias do Jamari;24.155
RO;11;908;Castanheiras;3.617
RO;11;56;Cerejeiras;17.986
RO;11;924;Chupinguaia;10.129
RO;11;64;Colorado do Oeste;18.817
RO;11;72;Corumbiara;8.842
RO;11;80;Costa Marques;16.651
RO;11;940;Cujubim;20.974
RO;11;98;Espigão D'Oeste;32.385
RO;11;1005;Governador Jorge Teixeira;10.127
RO;11;106;Guajará-Mirim;46.632
RO;11;1104;Itapuã do Oeste;9.995
RO;11;114;Jaru;55.738
RO;11;122;Ji-Paraná;130.419
RO;11;130;Machadinho D'Oeste;37.167
RO;11;1203;Ministro Andreazza;10.823
RO;11;1302;Mirante da Serra;12.360
RO;11;1401;Monte Negro;15.873
RO;11;148;Nova Brasilândia D'Oeste;21.592
RO;11;338;Nova Mamoré;27.600
RO;11;1435;Nova União;7.824
RO;11;502;Novo Horizonte do Oeste;10.276
RO;11;155;Ouro Preto do Oeste;39.924
RO;11;1450;Parecis;5.697
RO;11;189;Pimenta Bueno;37.512
RO;11;1468;Pimenteiras do Oeste;2.424
RO;11;205;Porto Velho;502.748(1)
RO;11;254;Presidente Médici;22.557
RO;11;1476;Primavera de Rondônia;3.501
RO;11;262;Rio Crespo;3.750
RO;11;288;Rolim de Moura;56.242
RO;11;296;Santa Luzia D'Oeste;8.532
RO;11;1484;São Felipe D'Oeste;6.103
RO;11;1492;São Francisco do Guaporé;19.002
RO;11;320;São Miguel do Guaporé;23.933
RO;11;1500;Seringueiras;12.581
RO;11;1559;Teixeirópolis;5.003
RO;11;1609;Theobroma;11.347
RO;11;1708;Urupá;13.293
RO;11;1757;Vale do Anari;10.843
RO;11;1807;Vale do Paraíso;8.231
RO;11;304;Vilhena;91.801
AC;12;13;Acrelândia;13.869
AC;12;54;Assis Brasil;6.738
AC;12;104;Brasiléia;23.849
AC;12;138;Bujari;9.339
AC;12;179;Capixaba;10.498
AC;12;203;Cruzeiro do Sul;81.519
AC;12;252;Epitaciolândia;16.731
AC;12;302;Feijó;32.385
AC;12;328;Jordão;7.509
AC;12;336;Mâncio Lima;17.173
AC;12;344;Manoel Urbano;8.641
AC;12;351;Marechal Thaumaturgo;16.895
AC;12;385;Plácido de Castro;18.159
AC;12;807;Porto Acre;16.757
AC;12;393;Porto Walter;10.759
AC;12;401;Rio Branco;370.550
AC;12;427;Rodrigues Alves;16.974
AC;12;435;Santa Rosa do Purus;5.809
AC;12;500;Sena Madureira;41.750
AC;12;450;Senador Guiomard;21.182
AC;12;609;Tarauacá;38.819
AC;12;708;Xapuri;17.608
AM;13;29;Alvarães;15.545
AM;13;60;Amaturá;10.847
AM;13;86;Anamã;12.320
AM;13;102;Anori;19.292
AM;13;144;Apuí;20.648
AM;13;201;Atalaia do Norte;18.133
AM;13;300;Autazes;37.033
AM;13;409;Barcelos;27.433
AM;13;508;Barreirinha;30.658
AM;13;607;Benjamin Constant;39.484
AM;13;631;Beruri;18.171
AM;13;680;Boa Vista do Ramos;17.668
AM;13;706;Boca do Acre;33.498
AM;13;805;Borba;39.292
AM;13;839;Caapiranga;12.420
AM;13;904;Canutama;15.130
AM;13;1001;Carauari;27.880
AM;13;1100;Careiro;36.435
AM;13;1159;Careiro da Várzea;27.981
AM;13;1209;Coari;83.078
AM;13;1308;Codajás;26.777
AM;13;1407;Eirunepé;34.025
AM;13;1506;Envira;18.786
AM;13;1605;Fonte Boa;20.742
AM;13;1654;Guajará;15.826
AM;13;1704;Humaitá;51.302
AM;13;1803;Ipixuna;26.860
AM;13;1852;Iranduba;45.984
AM;13;1902;Itacoatiara;97.122
AM;13;1951;Itamarati;8.179
AM;13;2009;Itapiranga;8.953
AM;13;2108;Japurá;5.125
AM;13;2207;Juruá;13.198
AM;13;2306;Jutaí;16.585
AM;13;2405;Lábrea;43.263
AM;13;2504;Manacapuru;94.175
AM;13;2553;Manaquiri;28.413
AM;13;2603;Manaus;2.057.711
AM;13;2702;Manicoré;53.053
AM;13;2801;Maraã;18.423
AM;13;2900;Maués;59.983
AM;13;3007;Nhamundá;20.358
AM;13;3106;Nova Olinda do Norte;35.156
AM;13;3205;Novo Airão;17.671
AM;13;3304;Novo Aripuanã;24.315
AM;13;3403;Parintins;111.575
AM;13;3502;Pauini;19.378
AM;13;3536;Presidente Figueiredo;32.812
AM;13;3569;Rio Preto da Eva;30.530
AM;13;3601;Santa Isabel do Rio Negro;22.404
AM;13;3700;Santo Antônio do Içá;23.688
AM;13;3809;São Gabriel da Cachoeira;43.094
AM;13;3908;São Paulo de Olivença;36.536
AM;13;3957;São Sebastião do Uatumã;12.781
AM;13;4005;Silves;9.081
AM;13;4062;Tabatinga;61.028
AM;13;4104;Tapauá;18.152
AM;13;4203;Tefé;62.444
AM;13;4237;Tonantins;18.478
AM;13;4260;Uarini;13.121
AM;13;4302;Urucará;17.163
AM;13;4401;Urucurituba;21.140
RR;14;50;Alto Alegre;16.176
RR;14;27;Amajari;11.006
RR;14;100;Boa Vista;320.714
RR;14;159;Bonfim;11.739
RR;14;175;Cantá;16.149
RR;14;209;Caracaraí;20.261
RR;14;233;Caroebe;9.165
RR;14;282;Iracema;10.320
RR;14;308;Mucajaí;16.380
RR;14;407;Normandia;10.148
RR;14;456;Pacaraima;11.908
RR;14;472;Rorainópolis;27.288
RR;14;506;São João da Baliza;7.516
RR;14;605;São Luiz;7.407
RR;14;704;Uiramutã;9.488
PA;15;107;Abaetetuba;150.431
PA;15;131;Abel Figueiredo;7.126
PA;15;206;Acará;54.064
PA;15;305;Afuá;37.398
PA;15;347;Água Azul do Norte;26.305
PA;15;404;Alenquer;54.662
PA;15;503;Almeirim;33.372
PA;15;602;Altamira;108.382
PA;15;701;Anajás;27.540
PA;15;800;Ananindeua;505.404
PA;15;859;Anapu;25.414
PA;15;909;Augusto Corrêa;43.700
PA;15;958;Aurora do Pará;29.492
PA;15;1006;Aveiro;15.953
PA;15;1105;Bagre;28.292
PA;15;1204;Baião;43.757
PA;15;1253;Bannach;3.267
PA;15;1303;Barcarena;115.779
PA;15;1402;Belém;1.439.561
PA;15;1451;Belterra;17.036
PA;15;1501;Benevides;58.637
PA;15;1576;Bom Jesus do Tocantins;16.227
PA;15;1600;Bonito;15.282
PA;15;1709;Bragança;121.528
PA;15;1725;Brasil Novo;14.984
PA;15;1758;Brejo Grande do Araguaia;7.232
PA;15;1782;Breu Branco;61.222
PA;15;1808;Breves;98.231
PA;15;1907;Bujaru;27.689
PA;15;2004;Cachoeira do Arari;22.449
PA;15;1956;Cachoeira do Piriá;31.300
PA;15;2103;Cametá;130.868
PA;15;2152;Canaã dos Carajás;33.632
PA;15;2202;Capanema;66.353
PA;15;2301;Capitão Poço;52.693
PA;15;2400;Castanhal;189.784
PA;15;2509;Chaves;22.566
PA;15;2608;Colares;11.682
PA;15;2707;Conceição do Araguaia;46.395
PA;15;2756;Concórdia do Pará;31.352
PA;15;2764;Cumaru do Norte;12.423
PA;15;2772;Curionópolis;17.709
PA;15;2806;Curralinho;32.248
PA;15;2855;Curuá;13.562
PA;15;2905;Curuçá;37.800
PA;15;2939;Dom Eliseu;56.398
PA;15;2954;Eldorado dos Carajás;32.664
PA;15;3002;Faro;7.333
PA;15;3044;Floresta do Araguaia;19.261
PA;15;3077;Garrafão do Norte;25.326
PA;15;3093;Goianésia do Pará;37.975
PA;15;3101;Gurupá;31.623
PA;15;3200;Igarapé-Açu;37.333
PA;15;3309;Igarapé-Miri;60.343
PA;15;3408;Inhangapi;11.053
PA;15;3457;Ipixuna do Pará;58.558
PA;15;3507;Irituia;31.654
PA;15;3606;Itaituba;98.446
PA;15;3705;Itupiranga;51.775
PA;15;3754;Jacareacanga;9.677 (2)
PA;15;3804;Jacundá;56.006
PA;15;3903;Juruti;53.989
PA;15;4000;Limoeiro do Ajuru;27.368
PA;15;4059;Mãe do Rio;28.959
PA;15;4109;Magalhães Barata;8.279
PA;15;4208;Marabá;262.085
PA;15;4307;Maracanã;28.656
PA;15;4406;Marapanim;27.368
PA;15;4422;Marituba;122.916
PA;15;4455;Medicilândia;29.887
PA;15;4505;Melgaço;26.397
PA;15;4604;Mocajuba;29.398
PA;15;4703;Moju;77.385
PA;15;4752;Mojuí dos Campos;15.446
PA;15;4802;Monte Alegre;56.312
PA;15;4901;Muaná;37.977
PA;15;4950;Nova Esperança do Piriá;20.663
PA;15;4976;Nova Ipixuna;15.836
PA;15;5007;Nova Timboteua;14.635
PA;15;5031;Novo Progresso;25.135
PA;15;5064;Novo Repartimento;70.835
PA;15;5106;Óbidos;50.459
PA;15;5205;Oeiras do Pará;30.880
PA;15;5304;Oriximiná;69.024
PA;15;5403;Ourém;17.114
PA;15;5437;Ourilândia do Norte;30.776
PA;15;5486;Pacajá;44.778
PA;15;5494;Palestina do Pará;7.424
PA;15;5502;Paragominas;107.010
PA;15;5536;Parauapebas;189.921
PA;15;5551;Pau D'Arco;5.535
PA;15;5601;Peixe-Boi;7.874
PA;15;5635;Piçarra;12.675
PA;15;5650;Placas;28.533
PA;15;5700;Ponta de Pedras;29.160
