SIGLA UF;COD. UF;COD. MUNICIPIO;MUNICIPIO;POPULACAO
RO;11;15;Alta Floresta D'Oeste;24.577
RO;11;379;Alto Alegre dos Parecis;11.962
RO;11;403;Alto Paraíso;17.169
RO;11;346;Alvorada D'Oeste;17.009
RO;11;23;Ariquemes;84.581
RO;11;452;Buritis;33.879
RO;11;31;Cabixi;6.777
RO;11;601;Cacaulândia;5.707
RO;11;49;Cacoal;78.263
RO;11;700;Campo Novo de Rondônia;12.790
RO;11;809;Candeias do Jamari;17.147
RO;11;908;Castanheiras;3.737
RO;11;56;Cerejeiras;16.784
RO;11;924;Chupinguaia;7.633
RO;11;64;Colorado do Oeste;18.216
RO;11;72;Corumbiara;9.761
RO;11;80;Costa Marques;13.973
RO;11;940;Cujubim;14.122
RO;11;98;Espigão D'Oeste;28.617
RO;11;1005;Governador Jorge Teixeira;11.793
RO;11;106;Guajará-Mirim;40.541
RO;11;1104;Itapuã do Oeste;8.110
RO;11;114;Jaru;53.955
RO;11;122;Ji-Paraná;110.707
RO;11;130;Machadinho D'Oeste;32.214
RO;11;1203;Ministro Andreazza;10.653
RO;11;1302;Mirante da Serra;12.446
RO;11;1401;Monte Negro;12.710
RO;11;148;Nova Brasilândia D'Oeste;17.653
RO;11;338;Nova Mamoré;21.650
RO;11;1435;Nova União;7.978
RO;11;502;Novo Horizonte do Oeste;9.966
RO;11;155;Ouro Preto do Oeste;37.142
RO;11;1450;Parecis;4.696
RO;11;189;Pimenta Bueno;33.803
RO;11;1468;Pimenteiras do Oeste;2.427
RO;11;205;Porto Velho;379.186
RO;11;254;Presidente Médici;22.896
RO;11;1476;Primavera de Rondônia;3.819
RO;11;262;Rio Crespo;3.260
RO;11;288;Rolim de Moura;50.249
RO;11;296;Santa Luzia D'Oeste;9.566
RO;11;1484;São Felipe D'Oeste;6.477
RO;11;1492;São Francisco do Guaporé;16.091
RO;11;320;São Miguel do Guaporé;23.283
RO;11;1500;Seringueiras;12.088
RO;11;1559;Teixeirópolis;5.070
RO;11;1609;Theobroma;10.254
RO;11;1708;Urupá;13.785
RO;11;1757;Vale do Anari;8.981
RO;11;1807;Vale do Paraíso;9.008
RO;11;304;Vilhena;68.405
AC;12;13;Acrelândia;11.987
AC;12;54;Assis Brasil;5.559
AC;12;104;Brasiléia;19.829
AC;12;138;Bujari;6.745
AC;12;179;Capixaba;8.897
AC;12;203;Cruzeiro do Sul;76.392
AC;12;252;Epitaciolândia;13.960
AC;12;302;Feijó;32.210
AC;12;328;Jordão;6.333
AC;12;336;Mâncio Lima;14.387
AC;12;344;Manoel Urbano;7.405
